secid,date,rate,expiration
108105,2012-01-03,0,2012-01-06
108105,2012-01-03,1.887578,2012-01-21
108105,2012-01-03,2.201331,2012-02-18
108105,2012-01-03,2.326417,2012-03-17
108105,2012-01-03,2.230282,2012-03-30
108105,2012-01-03,2.185321,2012-04-21
108105,2012-01-03,2.311416,2012-06-16
108105,2012-01-03,2.277557,2012-06-29
108105,2012-01-03,2.255281,2012-09-22
108105,2012-01-03,2.250626,2012-09-28
108105,2012-01-03,2.319218,2012-12-22
108105,2012-01-03,2.302394,2012-12-31
108105,2012-01-03,2.308134,2013-06-22
108105,2012-01-03,2.3117,2013-12-21
108105,2012-01-03,2.384424,2014-12-20
108105,2012-01-04,0,2012-01-06
108105,2012-01-04,1.296056,2012-01-21
108105,2012-01-04,2.284461,2012-02-18
108105,2012-01-04,2.513265,2012-03-17
108105,2012-01-04,2.461969,2012-03-30
108105,2012-01-04,2.25928,2012-04-21
108105,2012-01-04,2.428015,2012-06-16
108105,2012-01-04,2.420188,2012-06-29
108105,2012-01-04,2.371159,2012-09-22
108105,2012-01-04,2.432438,2012-09-28
108105,2012-01-04,2.388922,2012-12-22
108105,2012-01-04,2.385505,2012-12-31
108105,2012-01-04,2.331192,2013-06-22
108105,2012-01-04,2.3949,2013-12-21
108105,2012-01-04,2.405558,2014-12-20
108105,2012-01-05,0,2012-01-06
108105,2012-01-05,2.14924,2012-01-13
108105,2012-01-05,1.524249,2012-01-21
108105,2012-01-05,2.663918,2012-02-18
108105,2012-01-05,2.771722,2012-03-17
108105,2012-01-05,2.486683,2012-03-30
108105,2012-01-05,2.382928,2012-04-21
108105,2012-01-05,2.485067,2012-06-16
108105,2012-01-05,2.532984,2012-06-29
108105,2012-01-05,2.41599,2012-09-22
108105,2012-01-05,2.459797,2012-09-28
108105,2012-01-05,2.435371,2012-12-22
108105,2012-01-05,2.438159,2012-12-31
108105,2012-01-05,2.398164,2013-06-22
108105,2012-01-05,2.415329,2013-12-21
108105,2012-01-05,2.404694,2014-12-20
108105,2012-01-06,0,2012-01-06
108105,2012-01-06,2.835045,2012-01-13
108105,2012-01-06,1.303204,2012-01-21
108105,2012-01-06,1.931222,2012-02-18
108105,2012-01-06,2.297848,2012-03-17
108105,2012-01-06,2.240828,2012-03-30
108105,2012-01-06,2.090726,2012-04-21
108105,2012-01-06,2.271915,2012-06-16
108105,2012-01-06,2.243624,2012-06-29
108105,2012-01-06,2.296964,2012-09-22
108105,2012-01-06,2.316094,2012-09-28
108105,2012-01-06,2.301395,2012-12-22
108105,2012-01-06,2.294761,2012-12-31
108105,2012-01-06,2.329274,2013-06-22
108105,2012-01-06,2.355647,2013-12-21
108105,2012-01-06,2.411964,2014-12-20
108105,2012-01-09,0,2012-01-13
108105,2012-01-09,0.900657,2012-01-21
108105,2012-01-09,2.598174,2012-02-18
108105,2012-01-09,2.552292,2012-03-17
108105,2012-01-09,2.473605,2012-03-30
108105,2012-01-09,2.339796,2012-04-21
108105,2012-01-09,2.446778,2012-06-16
108105,2012-01-09,2.383409,2012-06-29
108105,2012-01-09,2.371572,2012-09-22
108105,2012-01-09,2.371334,2012-09-28
108105,2012-01-09,2.37594,2012-12-22
108105,2012-01-09,2.381766,2012-12-31
108105,2012-01-09,2.370138,2013-06-22
108105,2012-01-09,2.368232,2013-12-21
108105,2012-01-09,2.352841,2014-12-20
108105,2012-01-10,0,2012-01-13
108105,2012-01-10,2.960381,2012-01-21
108105,2012-01-10,2.825595,2012-02-18
108105,2012-01-10,2.683865,2012-03-17
108105,2012-01-10,2.634873,2012-03-30
108105,2012-01-10,2.434993,2012-04-21
108105,2012-01-10,2.49939,2012-06-16
108105,2012-01-10,2.492067,2012-06-29
108105,2012-01-10,2.445069,2012-09-22
108105,2012-01-10,2.342551,2012-09-28
108105,2012-01-10,2.376981,2012-12-22
108105,2012-01-10,2.44559,2012-12-31
108105,2012-01-10,2.347118,2013-06-22
108105,2012-01-10,2.363406,2013-12-21
108105,2012-01-10,2.329167,2014-12-20
108105,2012-01-11,0,2012-01-13
108105,2012-01-11,1.574586,2012-01-21
108105,2012-01-11,2.161113,2012-02-18
108105,2012-01-11,2.265872,2012-03-17
108105,2012-01-11,2.164866,2012-03-30
108105,2012-01-11,2.035364,2012-04-21
108105,2012-01-11,2.270455,2012-06-16
108105,2012-01-11,2.270257,2012-06-29
108105,2012-01-11,2.290434,2012-09-22
108105,2012-01-11,2.290675,2012-09-28
108105,2012-01-11,2.298358,2012-12-22
108105,2012-01-11,2.30857,2012-12-31
108105,2012-01-11,2.377643,2013-06-22
108105,2012-01-11,2.372921,2013-12-21
108105,2012-01-11,2.365159,2014-12-20
108105,2012-01-12,0,2012-01-13
108105,2012-01-12,0.926754,2012-01-21
108105,2012-01-12,2.040473,2012-02-18
108105,2012-01-12,2.464969,2012-03-17
108105,2012-01-12,2.342817,2012-03-30
108105,2012-01-12,2.2358,2012-04-21
108105,2012-01-12,2.362108,2012-06-16
108105,2012-01-12,2.36329,2012-06-29
108105,2012-01-12,2.379164,2012-09-22
108105,2012-01-12,2.356905,2012-09-28
108105,2012-01-12,2.357726,2012-12-22
108105,2012-01-12,2.375085,2012-12-31
108105,2012-01-12,2.386776,2013-06-22
108105,2012-01-12,2.386071,2013-12-21
108105,2012-01-12,2.359821,2014-12-20
108105,2012-01-13,0,2012-01-13
108105,2012-01-13,4.748886,2012-01-21
108105,2012-01-13,2.924283,2012-02-18
108105,2012-01-13,2.955339,2012-03-17
108105,2012-01-13,2.608025,2012-03-30
108105,2012-01-13,2.484502,2012-04-21
108105,2012-01-13,2.581908,2012-06-16
108105,2012-01-13,2.536951,2012-06-29
108105,2012-01-13,2.43407,2012-09-22
108105,2012-01-13,2.457006,2012-09-28
108105,2012-01-13,2.453672,2012-12-22
108105,2012-01-13,2.42867,2012-12-31
108105,2012-01-13,2.4488,2013-06-22
108105,2012-01-13,2.423183,2013-12-21
108105,2012-01-13,2.385656,2014-12-20
108105,2012-01-17,0,2012-01-21
108105,2012-01-17,2.967478,2012-02-18
108105,2012-01-17,2.824674,2012-03-17
108105,2012-01-17,2.623599,2012-03-30
108105,2012-01-17,2.420855,2012-04-21
108105,2012-01-17,2.476246,2012-06-16
108105,2012-01-17,2.480948,2012-06-29
108105,2012-01-17,2.398208,2012-09-22
108105,2012-01-17,2.410653,2012-09-28
108105,2012-01-17,2.426204,2012-12-22
108105,2012-01-17,2.394845,2012-12-31
108105,2012-01-17,2.396126,2013-06-22
108105,2012-01-17,2.400426,2013-12-21
108105,2012-01-17,2.36286,2014-12-20
108105,2012-01-18,0,2012-01-21
108105,2012-01-18,2.953631,2012-02-18
108105,2012-01-18,2.882671,2012-03-17
108105,2012-01-18,2.554982,2012-03-30
108105,2012-01-18,2.457109,2012-04-21
108105,2012-01-18,2.584509,2012-06-16
108105,2012-01-18,2.485803,2012-06-29
108105,2012-01-18,2.429524,2012-09-22
108105,2012-01-18,2.405472,2012-09-28
108105,2012-01-18,2.395092,2012-12-22
108105,2012-01-18,2.407176,2012-12-31
108105,2012-01-18,2.386898,2013-06-22
108105,2012-01-18,2.380949,2013-12-21
108105,2012-01-18,2.3798,2014-12-20
108105,2012-01-19,0,2012-01-21
108105,2012-01-19,0.906178,2012-01-27
108105,2012-01-19,2.984236,2012-02-18
108105,2012-01-19,2.891244,2012-03-17
108105,2012-01-19,2.668175,2012-03-30
108105,2012-01-19,2.526285,2012-04-21
108105,2012-01-19,2.54097,2012-06-16
108105,2012-01-19,2.483684,2012-06-29
108105,2012-01-19,2.411827,2012-09-22
108105,2012-01-19,2.412581,2012-09-28
108105,2012-01-19,2.398571,2012-12-22
108105,2012-01-19,2.348066,2012-12-31
108105,2012-01-19,2.357837,2013-06-22
108105,2012-01-19,2.351485,2013-12-21
108105,2012-01-19,2.326491,2014-12-20
108105,2012-01-20,2.573403,2012-01-27
108105,2012-01-20,2.699638,2012-02-18
108105,2012-01-20,2.993616,2012-03-17
108105,2012-01-20,2.680361,2012-03-30
108105,2012-01-20,2.449265,2012-04-21
108105,2012-01-20,2.535724,2012-06-16
108105,2012-01-20,2.469632,2012-06-29
108105,2012-01-20,2.410267,2012-09-22
108105,2012-01-20,2.389082,2012-09-28
108105,2012-01-20,2.433474,2012-12-22
108105,2012-01-20,2.420145,2012-12-31
108105,2012-01-20,2.411257,2013-06-22
108105,2012-01-20,2.391129,2013-12-21
108105,2012-01-20,2.349658,2014-12-20
108105,2012-01-23,0,2012-01-27
108105,2012-01-23,2.250551,2012-02-18
108105,2012-01-23,2.221684,2012-03-17
108105,2012-01-23,2.138485,2012-03-30
108105,2012-01-23,2.100546,2012-04-21
108105,2012-01-23,2.292283,2012-05-19
108105,2012-01-23,2.341551,2012-06-16
108105,2012-01-23,2.303533,2012-06-29
108105,2012-01-23,2.312519,2012-09-22
108105,2012-01-23,2.360147,2012-09-28
108105,2012-01-23,2.371262,2012-12-22
108105,2012-01-23,2.365127,2012-12-31
108105,2012-01-23,2.290417,2013-06-22
108105,2012-01-23,2.336498,2013-12-21
108105,2012-01-23,2.328748,2014-12-20
108105,2012-01-24,0,2012-01-27
108105,2012-01-24,3.533421,2012-02-18
108105,2012-01-24,3.109498,2012-03-17
108105,2012-01-24,2.80637,2012-03-30
108105,2012-01-24,2.532299,2012-04-21
108105,2012-01-24,2.604201,2012-05-19
108105,2012-01-24,2.549271,2012-06-16
108105,2012-01-24,2.470071,2012-06-29
108105,2012-01-24,2.382815,2012-09-22
108105,2012-01-24,2.344916,2012-09-28
108105,2012-01-24,2.386886,2012-12-22
108105,2012-01-24,2.392765,2012-12-31
108105,2012-01-24,2.361416,2013-06-22
108105,2012-01-24,2.382322,2013-12-21
108105,2012-01-24,2.403294,2014-12-20
108105,2012-01-25,0,2012-01-27
108105,2012-01-25,1.989407,2012-02-18
108105,2012-01-25,2.095177,2012-03-17
108105,2012-01-25,1.952778,2012-03-30
108105,2012-01-25,1.954236,2012-04-21
108105,2012-01-25,2.197034,2012-05-19
108105,2012-01-25,2.31907,2012-06-16
108105,2012-01-25,2.150646,2012-06-29
108105,2012-01-25,2.285191,2012-09-22
108105,2012-01-25,2.288277,2012-09-28
108105,2012-01-25,2.287944,2012-12-22
108105,2012-01-25,2.3038,2012-12-31
108105,2012-01-25,2.275075,2013-06-22
108105,2012-01-25,2.341121,2013-12-21
108105,2012-01-25,2.309705,2014-12-20
108105,2012-01-26,0,2012-01-27
108105,2012-01-26,4.584343,2012-02-03
108105,2012-01-26,3.886388,2012-02-18
108105,2012-01-26,3.097489,2012-03-17
108105,2012-01-26,2.729743,2012-03-30
108105,2012-01-26,2.549337,2012-04-21
108105,2012-01-26,2.65653,2012-05-19
108105,2012-01-26,2.581238,2012-06-16
108105,2012-01-26,2.494211,2012-06-29
108105,2012-01-26,2.459668,2012-09-22
108105,2012-01-26,2.412353,2012-09-28
108105,2012-01-26,2.459635,2012-12-22
108105,2012-01-26,2.439399,2012-12-31
108105,2012-01-26,2.377855,2013-06-22
108105,2012-01-26,2.360058,2013-12-21
108105,2012-01-26,2.345038,2014-12-20
108105,2012-01-27,0,2012-01-27
108105,2012-01-27,0,2012-02-03
108105,2012-01-27,0.428118,2012-02-18
108105,2012-01-27,1.538189,2012-03-17
108105,2012-01-27,1.443597,2012-03-30
108105,2012-01-27,1.48846,2012-04-21
108105,2012-01-27,1.898939,2012-05-19
108105,2012-01-27,1.933162,2012-06-16
108105,2012-01-27,1.919089,2012-06-29
108105,2012-01-27,2.033753,2012-09-22
108105,2012-01-27,2.06091,2012-09-28
108105,2012-01-27,2.145458,2012-12-22
108105,2012-01-27,2.153067,2012-12-31
108105,2012-01-27,2.244717,2013-06-22
108105,2012-01-27,2.24458,2013-12-21
108105,2012-01-27,2.298319,2014-12-20
108105,2012-01-30,0,2012-02-03
108105,2012-01-30,5.180042,2012-02-18
108105,2012-01-30,3.688293,2012-03-17
108105,2012-01-30,3.209349,2012-03-30
108105,2012-01-30,2.758401,2012-04-21
108105,2012-01-30,2.897331,2012-05-19
108105,2012-01-30,2.772877,2012-06-16
108105,2012-01-30,2.652632,2012-06-29
108105,2012-01-30,2.516682,2012-09-22
108105,2012-01-30,2.507464,2012-09-28
108105,2012-01-30,2.47622,2012-12-22
108105,2012-01-30,2.482746,2012-12-31
108105,2012-01-30,2.414063,2013-06-22
108105,2012-01-30,2.422926,2013-12-21
108105,2012-01-30,2.385871,2014-12-20
108105,2012-01-31,0,2012-02-03
108105,2012-01-31,2.561171,2012-02-18
108105,2012-01-31,2.632024,2012-03-17
108105,2012-01-31,2.521657,2012-03-30
108105,2012-01-31,2.152002,2012-04-21
108105,2012-01-31,2.429983,2012-05-19
108105,2012-01-31,2.448332,2012-06-16
108105,2012-01-31,2.262759,2012-06-29
108105,2012-01-31,2.349737,2012-09-22
108105,2012-01-31,2.330119,2012-09-28
108105,2012-01-31,2.377516,2012-12-22
108105,2012-01-31,2.375654,2012-12-31
108105,2012-01-31,2.35268,2013-06-22
108105,2012-01-31,2.355906,2013-12-21
108105,2012-01-31,2.365034,2014-12-20
108105,2012-02-01,0,2012-02-03
108105,2012-02-01,4.755096,2012-02-18
108105,2012-02-01,3.017236,2012-03-17
108105,2012-02-01,2.674024,2012-03-30
108105,2012-02-01,2.427538,2012-04-21
