secid,date,days,volatility,index_flag
108105,2012-01-03,10,0.178959,1
108105,2012-01-03,14,0.144126,1
108105,2012-01-03,30,0.197702,1
108105,2012-01-03,60,0.246859,1
108105,2012-01-03,91,0.260174,1
108105,2012-01-03,122,0.272073,1
108105,2012-01-03,152,0.318278,1
108105,2012-01-03,182,0.305081,1
108105,2012-01-03,273,0.260194,1
108105,2012-01-03,365,0.233778,1
108105,2012-01-03,547,0.210353,1
108105,2012-01-03,730,0.208658,1
108105,2012-01-03,1825,0.267038,1
108105,2012-01-04,10,0.160426,1
108105,2012-01-04,14,0.145165,1
108105,2012-01-04,30,0.194876,1
108105,2012-01-04,60,0.243675,1
108105,2012-01-04,91,0.258211,1
108105,2012-01-04,122,0.270433,1
108105,2012-01-04,152,0.318273,1
108105,2012-01-04,182,0.305076,1
108105,2012-01-04,273,0.260179,1
108105,2012-01-04,365,0.233774,1
108105,2012-01-04,547,0.210317,1
108105,2012-01-04,730,0.208364,1
108105,2012-01-04,1825,0.267025,1
108105,2012-01-05,10,0.146679,1
108105,2012-01-05,14,0.14173,1
108105,2012-01-05,30,0.195023,1
108105,2012-01-05,60,0.240687,1
108105,2012-01-05,91,0.256042,1
108105,2012-01-05,122,0.268839,1
108105,2012-01-05,152,0.31676,1
108105,2012-01-05,182,0.304727,1
108105,2012-01-05,273,0.260201,1
108105,2012-01-05,365,0.23374,1
108105,2012-01-05,547,0.208865,1
108105,2012-01-05,730,0.208363,1
108105,2012-01-05,1825,0.266922,1
108105,2012-01-06,10,0.14877,1
108105,2012-01-06,14,0.137931,1
108105,2012-01-06,30,0.195345,1
108105,2012-01-06,60,0.240355,1
108105,2012-01-06,91,0.255407,1
108105,2012-01-06,122,0.268506,1
108105,2012-01-06,152,0.315286,1
108105,2012-01-06,182,0.304599,1
108105,2012-01-06,273,0.260177,1
108105,2012-01-06,365,0.233744,1
108105,2012-01-06,547,0.208753,1
108105,2012-01-06,730,0.208372,1
108105,2012-01-06,1825,0.266818,1
108105,2012-01-09,10,0.109339,1
108105,2012-01-09,14,0.129138,1
108105,2012-01-09,30,0.172796,1
108105,2012-01-09,60,0.223679,1
108105,2012-01-09,91,0.246894,1
108105,2012-01-09,122,0.262152,1
108105,2012-01-09,152,0.281336,1
108105,2012-01-09,182,0.303554,1
108105,2012-01-09,273,0.260175,1
108105,2012-01-09,365,0.233747,1
108105,2012-01-09,547,0.208686,1
108105,2012-01-09,730,0.208559,1
108105,2012-01-09,1825,0.267029,1
108105,2012-01-10,10,0.103452,1
108105,2012-01-10,14,0.134654,1
108105,2012-01-10,30,0.170444,1
108105,2012-01-10,60,0.219499,1
108105,2012-01-10,91,0.247381,1
108105,2012-01-10,122,0.2609,1
108105,2012-01-10,152,0.273,1
108105,2012-01-10,182,0.303765,1
108105,2012-01-10,273,0.260232,1
108105,2012-01-10,365,0.233909,1
108105,2012-01-10,547,0.208798,1
108105,2012-01-10,730,0.208441,1
108105,2012-01-10,1825,0.267043,1
108105,2012-01-11,10,0.097741,1
108105,2012-01-11,14,0.103498,1
108105,2012-01-11,30,0.159099,1
108105,2012-01-11,60,0.216668,1
108105,2012-01-11,91,0.246773,1
108105,2012-01-11,122,0.259348,1
108105,2012-01-11,152,0.272917,1
108105,2012-01-11,182,0.303731,1
108105,2012-01-11,273,0.260232,1
108105,2012-01-11,365,0.23388,1
108105,2012-01-11,547,0.208448,1
108105,2012-01-11,730,0.208438,1
108105,2012-01-11,1825,0.267034,1
108105,2012-01-12,10,0.090921,1
108105,2012-01-12,14,0.09503,1
108105,2012-01-12,30,0.153767,1
108105,2012-01-12,60,0.213987,1
108105,2012-01-12,91,0.246643,1
108105,2012-01-12,122,0.259171,1
108105,2012-01-12,152,0.271611,1
108105,2012-01-12,182,0.303605,1
108105,2012-01-12,273,0.260247,1
108105,2012-01-12,365,0.233721,1
108105,2012-01-12,547,0.208453,1
108105,2012-01-12,730,0.208331,1
108105,2012-01-12,1825,0.266931,1
108105,2012-01-13,10,0.06508,1
108105,2012-01-13,14,0.096637,1
108105,2012-01-13,30,0.14745,1
108105,2012-01-13,60,0.212901,1
108105,2012-01-13,91,0.244729,1
108105,2012-01-13,122,0.25903,1
108105,2012-01-13,152,0.270466,1
108105,2012-01-13,182,0.303576,1
108105,2012-01-13,273,0.260266,1
108105,2012-01-13,365,0.233767,1
108105,2012-01-13,547,0.208499,1
108105,2012-01-13,730,0.208286,1
108105,2012-01-13,1825,0.266834,1
108105,2012-01-17,10,0.071251,1
108105,2012-01-17,14,0.06216,1
108105,2012-01-17,30,0.151499,1
108105,2012-01-17,60,0.210979,1
108105,2012-01-17,91,0.239993,1
108105,2012-01-17,122,0.259633,1
108105,2012-01-17,152,0.261941,1
108105,2012-01-17,182,0.303738,1
108105,2012-01-17,273,0.260599,1
108105,2012-01-17,365,0.233678,1
108105,2012-01-17,547,0.207324,1
108105,2012-01-17,730,0.208351,1
108105,2012-01-17,1825,0.267047,1
108105,2012-01-18,10,0.084502,1
108105,2012-01-18,14,0.079446,1
108105,2012-01-18,30,0.142625,1
108105,2012-01-18,60,0.209554,1
108105,2012-01-18,91,0.23919,1
108105,2012-01-18,122,0.258681,1
108105,2012-01-18,152,0.261103,1
108105,2012-01-18,182,0.304157,1
108105,2012-01-18,273,0.260446,1
108105,2012-01-18,365,0.233935,1
108105,2012-01-18,547,0.207314,1
108105,2012-01-18,730,0.208284,1
108105,2012-01-18,1825,0.26709,1
108105,2012-01-19,10,0.084584,1
108105,2012-01-19,14,0.080371,1
108105,2012-01-19,30,0.105337,1
108105,2012-01-19,60,0.206991,1
108105,2012-01-19,91,0.239214,1
108105,2012-01-19,122,0.258087,1
108105,2012-01-19,152,0.259888,1
108105,2012-01-19,182,0.303624,1
108105,2012-01-19,273,0.260437,1
108105,2012-01-19,365,0.233761,1
108105,2012-01-19,547,0.207054,1
108105,2012-01-19,730,0.208133,1
108105,2012-01-19,1825,0.266993,1
108105,2012-01-20,10,0.077726,1
108105,2012-01-20,14,0.075202,1
108105,2012-01-20,30,0.105621,1
108105,2012-01-20,60,0.200012,1
108105,2012-01-20,91,0.236513,1
108105,2012-01-20,122,0.258044,1
108105,2012-01-20,152,0.258639,1
108105,2012-01-20,182,0.303623,1
108105,2012-01-20,273,0.259741,1
108105,2012-01-20,365,0.233758,1
108105,2012-01-20,547,0.20629,1
108105,2012-01-20,730,0.207989,1
108105,2012-01-20,1825,0.266887,1
108105,2012-01-23,10,0.068361,1
108105,2012-01-23,14,0.076505,1
108105,2012-01-23,30,0.103877,1
108105,2012-01-23,60,0.191244,1
108105,2012-01-23,91,0.235254,1
108105,2012-01-23,122,0.248125,1
108105,2012-01-23,152,0.255475,1
108105,2012-01-23,182,0.303523,1
108105,2012-01-23,273,0.259736,1
108105,2012-01-23,365,0.233746,1
108105,2012-01-23,547,0.206193,1
108105,2012-01-23,730,0.207117,1
108105,2012-01-23,1825,0.267057,1
108105,2012-01-24,10,0.069686,1
108105,2012-01-24,14,0.07042,1
108105,2012-01-24,30,0.101624,1
