secid,date,sic,low,high,open,close
108105,2012-01-03,9999,1258.86,1284.62,1258.86,1277.06
108105,2012-01-04,9999,1268.1,1278.73,1277.03,1277.3
108105,2012-01-05,9999,1265.26,1283.05,1277.3,1281.06
108105,2012-01-06,9999,1273.34,1281.84,1280.93,1277.81
108105,2012-01-09,9999,1274.55,1281.99,1277.83,1280.7
108105,2012-01-10,9999,1280.77,1296.46,1280.77,1292.08
108105,2012-01-11,9999,1285.41,1293.8,1292.02,1292.48
108105,2012-01-12,9999,1285.77,1296.82,1292.48,1295.5
108105,2012-01-13,9999,1277.58,1294.82,1294.82,1289.09
108105,2012-01-17,9999,1290.22,1303,1290.22,1293.67
108105,2012-01-18,9999,1290.99,1308.11,1293.65,1308.04
108105,2012-01-19,9999,1308.07,1315.49,1308.07,1314.5
108105,2012-01-20,9999,1309.17,1315.38,1314.49,1315.38
108105,2012-01-23,9999,1309.89,1322.28,1315.29,1316
108105,2012-01-24,9999,1306.06,1315.96,1315.96,1314.65
108105,2012-01-25,9999,1307.65,1328.3,1314.4,1326.06
108105,2012-01-26,9999,1313.6,1333.47,1326.28,1318.43
108105,2012-01-27,9999,1311.72,1320.06,1318.25,1316.33
108105,2012-01-30,9999,1300.49,1316.16,1316.16,1313.01
108105,2012-01-31,9999,1306.69,1321.41,1313.53,1312.41
108105,2012-02-01,9999,1312.45,1330.52,1312.45,1324.09
108105,2012-02-02,9999,1321.57,1329.19,1324.24,1325.54
108105,2012-02-03,9999,1326.21,1345.34,1326.21,1344.9
108105,2012-02-06,9999,1337.52,1344.36,1344.32,1344.33
108105,2012-02-07,9999,1335.92,1349.24,1344.33,1347.05
108105,2012-02-08,9999,1341.95,1351,1347.04,1349.96
108105,2012-02-09,9999,1344.63,1354.32,1349.97,1351.95
108105,2012-02-10,9999,1337.35,1351.21,1351.21,1342.64
108105,2012-02-13,9999,1343.06,1353.35,1343.06,1351.77
108105,2012-02-14,9999,1340.83,1351.3,1351.3,1350.5
108105,2012-02-15,9999,1340.8,1355.87,1350.52,1343.23
108105,2012-02-16,9999,1341.22,1359.02,1342.61,1358.04
108105,2012-02-17,9999,1357.24,1363.4,1358.06,1361.23
108105,2012-02-21,9999,1358.11,1367.76,1361.22,1362.21
108105,2012-02-22,9999,1355.53,1362.7,1362.11,1357.66
108105,2012-02-23,9999,1352.28,1364.24,1357.53,1363.46
108105,2012-02-24,9999,1363.46,1368.92,1363.46,1365.74
108105,2012-02-27,9999,1354.92,1371.94,1365.2,1367.59
108105,2012-02-28,9999,1365.97,1373.09,1367.56,1372.18
108105,2012-02-29,9999,1363.81,1378.04,1372.2,1365.68
108105,2012-03-01,9999,1365.9,1376.17,1365.9,1374.09
108105,2012-03-02,9999,1366.42,1374.53,1374.09,1369.63
108105,2012-03-05,9999,1359.13,1369.59,1369.59,1364.33
108105,2012-03-06,9999,1340.03,1363.63,1363.63,1343.36
108105,2012-03-07,9999,1343.39,1354.85,1343.39,1352.63
108105,2012-03-08,9999,1352.65,1368.72,1352.65,1365.91
108105,2012-03-09,9999,1365.97,1374.76,1365.97,1370.87
108105,2012-03-12,9999,1366.69,1373.04,1370.78,1371.09
108105,2012-03-13,9999,1371.92,1396.13,1371.92,1395.95
108105,2012-03-14,9999,1389.97,1399.42,1395.95,1394.28
108105,2012-03-15,9999,1392.78,1402.63,1394.17,1402.6
108105,2012-03-16,9999,1401.47,1405.88,1402.55,1404.17
108105,2012-03-19,9999,1402.43,1414,1404.17,1409.75
108105,2012-03-20,9999,1397.68,1409.59,1409.59,1405.52
108105,2012-03-21,9999,1400.64,1407.75,1405.52,1402.89
108105,2012-03-22,9999,1388.73,1402.89,1402.89,1392.78
108105,2012-03-23,9999,1386.87,1399.18,1392.78,1397.11
108105,2012-03-26,9999,1397.11,1416.58,1397.11,1416.51
108105,2012-03-27,9999,1411.95,1419.15,1416.55,1412.52
108105,2012-03-28,9999,1397.2,1413.65,1412.52,1405.54
108105,2012-03-29,9999,1391.56,1405.39,1405.39,1403.28
108105,2012-03-30,9999,1401.42,1410.89,1403.31,1408.47
108105,2012-04-02,9999,1404.46,1422.38,1408.47,1419.04
108105,2012-04-03,9999,1404.62,1419,1418.98,1413.38
108105,2012-04-04,9999,1394.09,1413.09,1413.09,1398.96
108105,2012-04-05,9999,1392.92,1401.6,1398.79,1398.08
108105,2012-04-09,9999,1378.24,1397.45,1397.45,1382.2
108105,2012-04-10,9999,1357.38,1383.01,1382.18,1358.59
108105,2012-04-11,9999,1358.98,1374.71,1358.98,1368.71
108105,2012-04-12,9999,1368.77,1388.13,1368.77,1387.57
108105,2012-04-13,9999,1369.85,1387.61,1387.61,1370.26
108105,2012-04-16,9999,1365.38,1379.66,1370.27,1369.57
108105,2012-04-17,9999,1369.57,1392.76,1369.57,1390.78
108105,2012-04-18,9999,1383.29,1390.78,1390.78,1385.14
108105,2012-04-19,9999,1370.3,1390.46,1385.08,1376.92
108105,2012-04-20,9999,1376.96,1387.4,1376.96,1378.53
108105,2012-04-23,9999,1358.79,1378.53,1378.53,1366.94
108105,2012-04-24,9999,1366.82,1375.57,1366.97,1371.97
108105,2012-04-25,9999,1372.11,1391.37,1372.11,1390.69
108105,2012-04-26,9999,1387.28,1402.09,1390.64,1399.98
108105,2012-04-27,9999,1397.31,1406.64,1400.19,1403.36
108105,2012-04-30,9999,1394,1403.26,1403.26,1397.91
108105,2012-05-01,9999,1395.73,1415.32,1397.86,1405.82
108105,2012-05-02,9999,1393.92,1405.5,1405.5,1402.31
108105,2012-05-03,9999,1388.71,1403.07,1402.32,1391.57
108105,2012-05-04,9999,1367.96,1391.51,1391.51,1369.1
108105,2012-05-07,9999,1363.94,1373.91,1368.79,1369.58
108105,2012-05-08,9999,1347.75,1369.16,1369.16,1363.72
108105,2012-05-09,9999,1343.13,1363.73,1363.2,1354.58
108105,2012-05-10,9999,1354.58,1365.88,1354.58,1357.99
108105,2012-05-11,9999,1348.89,1365.66,1358.11,1353.39
108105,2012-05-14,9999,1336.61,1351.93,1351.93,1338.35
108105,2012-05-15,9999,1328.41,1344.94,1338.36,1330.66
108105,2012-05-16,9999,1324.79,1341.78,1330.78,1324.8
108105,2012-05-17,9999,1304.86,1326.36,1324.82,1304.86
108105,2012-05-18,9999,1291.98,1312.24,1305.05,1295.22
108105,2012-05-21,9999,1295.73,1316.39,1295.73,1315.99
108105,2012-05-22,9999,1310.04,1328.49,1316.09,1316.63
108105,2012-05-23,9999,1296.53,1320.71,1316.02,1318.86
108105,2012-05-24,9999,1310.5,1324.14,1318.72,1320.68
108105,2012-05-25,9999,1314.23,1324.2,1320.81,1317.82
108105,2012-05-29,9999,1318.9,1334.93,1318.9,1332.42
108105,2012-05-30,9999,1310.76,1331.25,1331.25,1313.32
108105,2012-05-31,9999,1298.9,1319.74,1313.09,1310.33
108105,2012-06-01,9999,1277.25,1309.87,1309.87,1278.04
108105,2012-06-04,9999,1266.74,1282.55,1278.29,1278.18
108105,2012-06-05,9999,1274.16,1287.62,1277.82,1285.5
108105,2012-06-06,9999,1285.61,1315.13,1285.61,1315.13
108105,2012-06-07,9999,1312.68,1329.05,1316.15,1314.99
